20150729	lastConnect	string
20150729	latency.btc.count	number
20150729	latency.btc.mean	number
20150729	latency.btc.median	number
20150729	latency.btc.variance	number
20150729	latency.icmp.count	number
20150729	latency.icmp.mean	number
20150729	latency.icmp.median	number
20150729	latency.icmp.variance	number
20150729	whois.asn_country_code	string
20150729	whois.asn	string
20150729	whois.name	null
20150729	whois.name	string
20150730	geo.lat	number
20150730	geo.long	number
20150730	ip.version	number
20150730	lastConnect	string
20150730	latency.btc.count	number
20150730	latency.btc.mean	number
20150730	latency.btc.median	number
20150730	latency.btc.variance	number
20150730	latency.icmp.count	number
20150730	latency.icmp.mean	number
20150730	latency.icmp.median	number
20150730	latency.icmp.variance	number
20150730	whois.asn_country_code	string
20150730	whois.asn	string
20150730	whois.name	null
20150730	whois.name	string
20150731	geo.lat	number
20150731	geo.long	number
20150731	ip.version	number
20150731	lastConnect	string
20150731	latency.btc.count	number
20150731	latency.btc.mean	number
20150731	latency.btc.median	number
20150731	latency.btc.variance	number
20150731	latency.icmp.count	number
20150731	latency.icmp.mean	number
20150731	latency.icmp.median	number
20150731	latency.icmp.variance	number
20150731	whois.asn_country_code	string
20150731	whois.asn	string
20150731	whois.name	null
20150731	whois.name	string
20150801	geo.lat	number
20150801	geo.long	number
20150801	ip.version	number
20150801	lastConnect	string
20150801	latency.btc.count	number
20150801	latency.btc.mean	number
20150801	latency.btc.median	number
20150801	latency.btc.variance	number
20150801	latency.icmp.count	number
20150801	latency.icmp.mean	number
20150801	latency.icmp.median	number
20150801	latency.icmp.variance	number
20150801	whois.asn_country_code	string
20150801	whois.asn	string
20150801	whois.name	null
20150801	whois.name	string
20150802	geo.lat	number
20150802	geo.long	number
20150802	ip.version	number
20150802	lastConnect	string
20150802	latency.btc.count	number
20150802	latency.btc.mean	number
20150802	latency.btc.median	number
20150802	latency.btc.variance	number
20150802	latency.icmp.count	number
20150802	latency.icmp.mean	number
20150802	latency.icmp.median	number
20150802	latency.icmp.variance	number
20150802	whois.asn_country_code	string
20150802	whois.asn	string
20150802	whois.name	null
20150802	whois.name	string
20150803	geo.lat	number
20150803	geo.long	number
20150803	ip.version	number
20150803	lastConnect	string
20150803	latency.btc.count	number
20150803	latency.btc.mean	number
20150803	latency.btc.median	number
20150803	latency.btc.variance	number
20150803	latency.icmp.count	number
20150803	latency.icmp.mean	number
20150803	latency.icmp.median	number
20150803	latency.icmp.variance	number
20150803	whois.asn_country_code	string
20150803	whois.asn	string
20150803	whois.name	null
20150803	whois.name	string
20150804	geo.lat	number
20150804	geo.long	number
20150804	ip.version	number
20150804	lastConnect	string
20150804	latency.btc.count	number
20150804	latency.btc.mean	number
20150804	latency.btc.median	number
20150804	latency.btc.variance	number
20150804	latency.icmp.count	number
20150804	latency.icmp.mean	number
20150804	latency.icmp.median	number
20150804	latency.icmp.variance	number
20150804	whois.asn_country_code	string
20150804	whois.asn	string
20150804	whois.name	null
20150804	whois.name	string
20150805	geo.lat	number
20150805	geo.long	number
20150805	ip.version	number
